更新时间,#genre#
[BD]CCTV-1,http://218.13.138.139:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[BD]CCTV-1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009$订阅源
[BD]CCTV-1,http://129.211.14.102:27777/api.php?token=c164b1427bac7946a974cccd8909adcd&play=UYShGMEN3bMZke6V1T0MEeU5XVPVGR1t0TjRkNU1XQNdzQygUTnRENE1zYNBka9E$订阅源
[BD]CCTV-1,http://220.192.165.126:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[BD]CCTV-1,http://118.122.144.115:8888/newlive/live/hls/1/live.m3u8$订阅源
[BD]CCTV-1,http://58.56.162.102:4466/newlive/live/hls/1/live.m3u8$订阅源
[BD]CCTV-1,http://1.190.240.47:9003/hls/3019/index.m3u8$订阅源
[BD]CCTV-1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8$订阅源
[BD]CCTV-1,http://219.147.245.238:25480/newlive/live/hls/1/live.m3u8$订阅源
[BD]CCTV-1,http://101.66.199.234:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-2,http://112.30.73.119:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://36.136.38.87:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://112.27.235.94:8000/hls/2/index.m3u8$订阅源
CCTV-2,http://218.13.170.98:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV-2,http://125.71.73.4:9901/tsfile/live/faacts/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://192.151.150.154/live/cctv2hd.m3u8$订阅源
CCTV-2,http://107.150.60.122/live/cctv2hd.m3u8$订阅源
CCTV-2,http://118.122.144.115:8888/newlive/live/hls/2/live.m3u8$订阅源
CCTV-2,http://113.90.154.189:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://113.57.140.161:10081/newlive/live/hls/2/live.m3u8$订阅源
[HD]CCTV-2,http://107.150.60.122/live/cctv2hd.m3u8$订阅源
[HD]CCTV-2,http://118.122.144.115:8888/newlive/live/hls/2/live.m3u8$订阅源
[HD]CCTV-2,http://113.90.154.189:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[HD]CCTV-2,http://113.57.140.161:10081/newlive/live/hls/2/live.m3u8$订阅源
[HD]CCTV-2,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8$订阅源
[HD]CCTV-2,http://101.66.198.150:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
[HD]CCTV-2,http://120.40.39.246:352/newlive/live/hls/2/live.m3u8$订阅源
[HD]CCTV-2,http://101.66.199.234:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
[HD]CCTV-2,http://218.13.170.98:9901/tsfile/live/0002_1.m3u8$订阅源
[HD]CCTV-2,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv2hd$订阅源
[BD]CCTV-2,http://107.150.60.122/live/cctv2hd.m3u8$订阅源
[BD]CCTV-2,http://118.122.144.115:8888/newlive/live/hls/2/live.m3u8$订阅源
[BD]CCTV-2,http://113.90.154.189:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[BD]CCTV-2,http://113.57.140.161:10081/newlive/live/hls/2/live.m3u8$订阅源
[BD]CCTV-2,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8$订阅源
[BD]CCTV-2,http://101.66.198.150:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
[BD]CCTV-2,http://120.40.39.246:352/newlive/live/hls/2/live.m3u8$订阅源
[BD]CCTV-2,http://101.66.199.234:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
[BD]CCTV-2,http://218.13.170.98:9901/tsfile/live/0002_1.m3u8$订阅源
[BD]CCTV-2,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv2hd$订阅源
CCTV-3,http://112.27.145.212:9902/tsfile/live/1502_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://121.57.88.206:898/hls/3/index.m3u8$订阅源
CCTV-3,http://183.185.66.248:9003/hls/3/index.m3u8$订阅源
CCTV-3,http://123.130.84.106:8154/tsfile/live/0003_1.m3u8$订阅源
CCTV-3,http://118.193.115.2:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009$订阅源
CCTV-3,http://123.175.209.118:9003/hls/3/index.m3u8$订阅源
CCTV-3,http://113.90.154.189:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://112.123.243.37:50085/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-3,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv3hd$订阅源
[HD]CCTV-3,http://183.185.66.248:9003/hls/3/index.m3u8$订阅源
[HD]CCTV-3,http://123.130.84.106:8154/tsfile/live/0003_1.m3u8$订阅源
[HD]CCTV-3,http://118.193.115.2:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[HD]CCTV-3,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009$订阅源
[HD]CCTV-3,http://123.175.209.118:9003/hls/3/index.m3u8$订阅源
[HD]CCTV-3,http://113.90.154.189:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[HD]CCTV-3,http://112.123.243.37:50085/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
[HD]CCTV-3,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv3hd$订阅源
[HD]CCTV-3,http://58.56.162.102:4466/newlive/live/hls/3/live.m3u8$订阅源
[HD]CCTV-3,http://119.166.53.110:9901/tsfile/live/0002_4.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[BD]CCTV-3,http://183.185.66.248:9003/hls/3/index.m3u8$订阅源
[BD]CCTV-3,http://123.130.84.106:8154/tsfile/live/0003_1.m3u8$订阅源
[BD]CCTV-3,http://118.193.115.2:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[BD]CCTV-3,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009$订阅源
[BD]CCTV-3,http://123.175.209.118:9003/hls/3/index.m3u8$订阅源
[BD]CCTV-3,http://113.90.154.189:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[BD]CCTV-3,http://112.123.243.37:50085/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
[BD]CCTV-3,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv3hd$订阅源
[BD]CCTV-3,http://58.56.162.102:4466/newlive/live/hls/3/live.m3u8$订阅源
[BD]CCTV-3,http://119.166.53.110:9901/tsfile/live/0002_4.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-4,http://207.56.13.146:81/cdnlive/cctv4.m3u8$订阅源
CCTV-4,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV20.m3u8$订阅源
CCTV-4,https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctveurope_2/index.m3u8$订阅源
CCTV-4,https://cdn.ttvb.eu.org/douyin/CCTV4..$订阅源
CCTV-4,http://219.147.245.238:25480/newlive/live/hls/4/live.m3u8$订阅源
CCTV-4,http://123.118.53.84:45237/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-4,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4hd$订阅源
CCTV-4,http://129.211.14.102:27777/api.php?token=c164b1427bac7946a974cccd8909adcd&play=UYShGMEN3bMZke6V1T0MEeU5XVPVGR1t0TjRkNU1XQNdzQygXTFp0ME9TQNBka9U$订阅源
CCTV-4,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub$订阅源
CCTV-4,http://118.193.115.2:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[HD]CCTV-4,http://219.147.245.238:25480/newlive/live/hls/4/live.m3u8$订阅源
[HD]CCTV-4,http://123.118.53.84:45237/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[HD]CCTV-4,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4hd$订阅源
[HD]CCTV-4,http://129.211.14.102:27777/api.php?token=c164b1427bac7946a974cccd8909adcd&play=UYShGMEN3bMZke6V1T0MEeU5XVPVGR1t0TjRkNU1XQNdzQygXTFp0ME9TQNBka9U$订阅源
[HD]CCTV-4,https://cdn.ttvb.eu.org/douyin/CCTV4..$订阅源
[HD]CCTV-4,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub$订阅源
[HD]CCTV-4,http://118.193.115.2:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[HD]CCTV-4,https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctveurope_2/index.m3u8$订阅源
[HD]CCTV-4,https://php.jdshipin.com/TVOD/iptv.php?id=cctv4$订阅源
[HD]CCTV-4,http://58.56.162.102:4466/newlive/live/hls/4/live.m3u8$订阅源
[BD]CCTV-4,http://219.147.245.238:25480/newlive/live/hls/4/live.m3u8$订阅源
[BD]CCTV-4,http://123.118.53.84:45237/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[BD]CCTV-4,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4hd$订阅源
[BD]CCTV-4,http://129.211.14.102:27777/api.php?token=c164b1427bac7946a974cccd8909adcd&play=UYShGMEN3bMZke6V1T0MEeU5XVPVGR1t0TjRkNU1XQNdzQygXTFp0ME9TQNBka9U$订阅源
[BD]CCTV-4,https://cdn.ttvb.eu.org/douyin/CCTV4..$订阅源
[BD]CCTV-4,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub$订阅源
[BD]CCTV-4,http://118.193.115.2:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[BD]CCTV-4,https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctveurope_2/index.m3u8$订阅源
[BD]CCTV-4,https://php.jdshipin.com/TVOD/iptv.php?id=cctv4$订阅源
[BD]CCTV-4,http://58.56.162.102:4466/newlive/live/hls/4/live.m3u8$订阅源
CCTV-5,http://111.8.224.6:9999/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5,http://gmxw.7766.org:808/hls/93/index.m3u8$订阅源
CCTV-5,http://58.210.139.130:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5,http://113.57.140.161:10081/newlive/live/hls/5/live.m3u8$订阅源
CCTV-5,http://183.185.66.248:9003/hls/5/index.m3u8$订阅源
CCTV-5,https://cdn.qd.je/163189/cctv5-2$订阅源
CCTV-5,http://112.123.243.37:50085/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-5,http://207.56.13.146:81/cdnlive/cctv5.m3u8$订阅源
CCTV-5,http://58.57.40.22:9901/tsfile/live/1004_1.m3u8$订阅源
CCTV-5,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub$订阅源
CCTV-5,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8$订阅源|IPv6
[HD]CCTV-5,http://58.210.139.130:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[HD]CCTV-5,http://113.57.140.161:10081/newlive/live/hls/5/live.m3u8$订阅源
[HD]CCTV-5,http://183.185.66.248:9003/hls/5/index.m3u8$订阅源
[HD]CCTV-5,https://cdn.qd.je/163189/cctv5-2$订阅源
[HD]CCTV-5,http://gmxw.7766.org:808/hls/93/index.m3u8$订阅源
[HD]CCTV-5,http://112.123.243.37:50085/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
[HD]CCTV-5,http://207.56.13.146:81/cdnlive/cctv5.m3u8$订阅源
[HD]CCTV-5,http://58.57.40.22:9901/tsfile/live/1004_1.m3u8$订阅源
[HD]CCTV-5,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub$订阅源
[HD]CCTV-5,http://113.90.154.189:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[BD]CCTV-5,http://58.210.139.130:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[BD]CCTV-5,http://113.57.140.161:10081/newlive/live/hls/5/live.m3u8$订阅源
[BD]CCTV-5,http://183.185.66.248:9003/hls/5/index.m3u8$订阅源
[BD]CCTV-5,https://cdn.qd.je/163189/cctv5-2$订阅源
[BD]CCTV-5,http://gmxw.7766.org:808/hls/93/index.m3u8$订阅源
[BD]CCTV-5,http://112.123.243.37:50085/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
[BD]CCTV-5,http://207.56.13.146:81/cdnlive/cctv5.m3u8$订阅源
[BD]CCTV-5,http://58.57.40.22:9901/tsfile/live/1004_1.m3u8$订阅源
[BD]CCTV-5,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub$订阅源
[BD]CCTV-5,http://113.90.154.189:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5+,https://myip.pdtvhd.com/Sports/streams/CCTV5pul.m3u8$订阅源
CCTV-5+,http://221.226.51.220:50081/newlive/live/hls/6/live.m3u8$订阅源
CCTV-5+,http://120.76.248.139/live/bfgd/4200000246.m3u8$订阅源
CCTV-5+,https://iptv.1989.click/cn/xjtf5f?token=03a196fd50c25e22afa7158e1c90b38416a6c66752340e4c$订阅源
CCTV-5+,http://58.210.139.130:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5+,http://220.192.165.126:9901/tsfile/live/0016_2.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-5+,http://123.130.84.106:8154/tsfile/live/0016_1.m3u8$订阅源
CCTV-5+,http://27.39.122.2:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5+,http://58.56.162.102:4466/newlive/live/hls/6/live.m3u8$订阅源
CCTV-5+,http://218.13.138.139:59901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5+,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001334/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$订阅源|IPv6
[HD]CCTV-5+,https://iptv.1989.click/cn/xjtf5f?token=03a196fd50c25e22afa7158e1c90b38416a6c66752340e4c$订阅源
[HD]CCTV-5+,http://58.210.139.130:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[HD]CCTV-5+,https://myip.pdtvhd.com/Sports/streams/CCTV5pul.m3u8$订阅源
[HD]CCTV-5+,http://220.192.165.126:9901/tsfile/live/0016_2.m3u8?key=txiptv&playlive=0&authid=0$订阅源
[HD]CCTV-5+,http://123.130.84.106:8154/tsfile/live/0016_1.m3u8$订阅源
[HD]CCTV-5+,http://27.39.122.2:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[HD]CCTV-5+,http://58.56.162.102:4466/newlive/live/hls/6/live.m3u8$订阅源
[HD]CCTV-5+,http://218.13.138.139:59901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[HD]CCTV-5+,http://58.57.40.22:9901/tsfile/live/1005_1.m3u8$订阅源
[HD]CCTV-5+,http://118.122.144.115:8888/newlive/live/hls/6/live.m3u8$订阅源
[BD]CCTV-5+,https://iptv.1989.click/cn/xjtf5f?token=03a196fd50c25e22afa7158e1c90b38416a6c66752340e4c$订阅源
[BD]CCTV-5+,http://58.210.139.130:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[BD]CCTV-5+,https://myip.pdtvhd.com/Sports/streams/CCTV5pul.m3u8$订阅源
[BD]CCTV-5+,http://220.192.165.126:9901/tsfile/live/0016_2.m3u8?key=txiptv&playlive=0&authid=0$订阅源
[BD]CCTV-5+,http://123.130.84.106:8154/tsfile/live/0016_1.m3u8$订阅源
[BD]CCTV-5+,http://27.39.122.2:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[BD]CCTV-5+,http://58.56.162.102:4466/newlive/live/hls/6/live.m3u8$订阅源
[BD]CCTV-5+,http://218.13.138.139:59901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[BD]CCTV-5+,http://58.57.40.22:9901/tsfile/live/1005_1.m3u8$订阅源
[BD]CCTV-5+,http://118.122.144.115:8888/newlive/live/hls/6/live.m3u8$订阅源
CCTV-6,https://live.eac-news.com/CCTV/streams/cctv6.m3u8$订阅源
CCTV-6,http://198.204.240.250:82/live/cctv6.m3u8$订阅源
CCTV-6,http://101.66.195.138:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-6,http://69.30.245.50/live/cctv6.m3u8$订阅源
CCTV-6,https://iptv.1989.click/cn/s7fd2u?token=03a196fd50c25e22afa7158e1c90b38416a6c66752340e4c$订阅源
CCTV-6,http://220.192.165.126:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-6,http://58.57.40.22:9901/tsfile/live/1006_1.m3u8$订阅源
CCTV-6,http://74.91.26.218:82/live/cctv6hd.m3u8$订阅源
CCTV-6,http://112.123.243.37:50085/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-6,http://218.13.138.139:59901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[HD]CCTV-6,http://101.66.195.138:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
[HD]CCTV-6,http://69.30.245.50/live/cctv6.m3u8$订阅源
[HD]CCTV-6,https://iptv.1989.click/cn/s7fd2u?token=03a196fd50c25e22afa7158e1c90b38416a6c66752340e4c$订阅源
[HD]CCTV-6,http://220.192.165.126:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[HD]CCTV-6,http://58.57.40.22:9901/tsfile/live/1006_1.m3u8$订阅源
[HD]CCTV-6,http://74.91.26.218:82/live/cctv6hd.m3u8$订阅源
[HD]CCTV-6,http://112.123.243.37:50085/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
[HD]CCTV-6,http://218.13.138.139:59901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[HD]CCTV-6,https://live.eac-news.com/CCTV/streams/cctv6.m3u8$订阅源
[HD]CCTV-6,http://118.193.115.2:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[BD]CCTV-6,http://101.66.195.138:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
[BD]CCTV-6,http://69.30.245.50/live/cctv6.m3u8$订阅源
[BD]CCTV-6,https://iptv.1989.click/cn/s7fd2u?token=03a196fd50c25e22afa7158e1c90b38416a6c66752340e4c$订阅源
[BD]CCTV-6,http://220.192.165.126:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[BD]CCTV-6,http://58.57.40.22:9901/tsfile/live/1006_1.m3u8$订阅源
[BD]CCTV-6,http://74.91.26.218:82/live/cctv6hd.m3u8$订阅源
[BD]CCTV-6,http://112.123.243.37:50085/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
[BD]CCTV-6,http://218.13.138.139:59901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[BD]CCTV-6,https://live.eac-news.com/CCTV/streams/cctv6.m3u8$订阅源
[BD]CCTV-6,http://118.193.115.2:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-7,http://61.161.61.119:9004/hls/9/index.m3u8$订阅源
CCTV-7,http://119.166.53.110:9901/tsfile/live/0002_8.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-7,http://123.175.209.118:9003/hls/8/index.m3u8$订阅源
CCTV-7,http://101.66.195.138:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-7,http://101.66.198.150:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-7,http://207.56.13.146:81/cdnlive/cctv7.m3u8$订阅源
CCTV-7,http://101.66.199.234:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-7,http://198.204.228.26/live/cctv7hd.m3u8$订阅源
CCTV-7,http://182.37.41.46:8154/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-7,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_CCTV-7-HQ/G_CCTV-7-HQ.m3u8?p=GITV&area=GD_CUCC&$订阅源
[HD]CCTV-7,http://119.166.53.110:9901/tsfile/live/0002_8.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[HD]CCTV-7,http://123.175.209.118:9003/hls/8/index.m3u8$订阅源
[HD]CCTV-7,http://101.66.195.138:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
[HD]CCTV-7,http://101.66.198.150:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
[HD]CCTV-7,http://207.56.13.146:81/cdnlive/cctv7.m3u8$订阅源
[HD]CCTV-7,http://101.66.199.234:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
[HD]CCTV-7,http://198.204.228.26/live/cctv7hd.m3u8$订阅源
[HD]CCTV-7,http://182.37.41.46:8154/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[HD]CCTV-7,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_CCTV-7-HQ/G_CCTV-7-HQ.m3u8?p=GITV&area=GD_CUCC&$订阅源
[HD]CCTV-7,http://61.161.61.119:9004/hls/9/index.m3u8$订阅源
[BD]CCTV-7,http://119.166.53.110:9901/tsfile/live/0002_8.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[BD]CCTV-7,http://123.175.209.118:9003/hls/8/index.m3u8$订阅源
[BD]CCTV-7,http://101.66.195.138:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
[BD]CCTV-7,http://101.66.198.150:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
[BD]CCTV-7,http://207.56.13.146:81/cdnlive/cctv7.m3u8$订阅源
[BD]CCTV-7,http://101.66.199.234:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
[BD]CCTV-7,http://198.204.228.26/live/cctv7hd.m3u8$订阅源
[BD]CCTV-7,http://182.37.41.46:8154/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
[BD]CCTV-7,http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_CCTV-7-HQ/G_CCTV-7-HQ.m3u8?p=GITV&area=GD_CUCC&$订阅源
[BD]CCTV-7,http://61.161.61.119:9004/hls/9/index.m3u8$订阅源
CCTV-8,http://124.165.251.82:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-8,http://219.147.245.238:25480/newlive/live/hls/9/live.m3u8$订阅源
CCTV-8,http://119.166.53.110:9901/tsfile/live/0002_9.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-8,http://60.187.247.96:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-8,http://101.66.195.138:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-8,http://182.37.41.46:8154/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-8,http://112.30.73.119:229/tsfile/live/0008_2.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-8,http://123.130.84.106:8154/tsfile/live/0008_1.m3u8$订阅源
CCTV-8,http://218.13.138.139:59901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
